iter	Passed	Remaining
1503	66696	21995
1504	66724	21946
1505	66751	21895
1506	66779	21846
1507	66810	21797
1508	66882	21762
1509	66915	21714
1510	66943	21664
1511	66970	21614
1512	66997	21564
1513	67023	21514
1514	67049	21464
1515	67075	21414
1516	67103	21365
1517	67131	21315
1518	67161	21267
1519	67195	21219
1520	67230	21172
1521	67263	21124
1522	67295	21076
1523	67329	21029
1524	67370	20984
1525	67402	20936
1526	67444	20891
1527	67489	20847
1528	67527	20801
1529	67573	20757
1530	67629	20717
1531	67678	20674
1532	67718	20629
1533	67761	20584
1534	67807	20541
1535	67854	20497
1536	67920	20460
1537	67958	20413
1538	68003	20370
1539	68056	20328
1540	68103	20285
1541	68152	20242
1542	68190	20196
1543	68228	20150
1544	68275	20107
1545	68320	20063
1546	68372	20021
1547	68433	19981
1548	68489	19941
1549	68548	19901
1550	68609	19861
1551	68657	19818
1552	68713	19777
1553	68770	19737
1554	68825	19696
1555	68876	19653
1556	68920	19609
1557	68961	19564
1558	69008	19520
1559	69061	19478
1560	69117	19437
1561	69162	19393
1562	69217	19352
1563	69261	19308
1564	69299	19262
1565	69371	19225
1566	69407	19178
1567	69451	19134
1568	69502	19092
1569	69551	19049
1570	69607	19007
1571	69650	18963
1572	69690	18917
1573	69736	18873
1574	69783	18830
1575	69832	18787
1576	69895	18748
1577	69952	18707
1578	70007	18665
1579	70062	18624
1580	70119	18583
1581	70173	18541
1582	70252	18506
1583	70291	18460
1584	70340	18417
1585	70390	18374
1586	70439	18331
1587	70488	18287
1588	70535	18244
1589	70574	18198
1590	70612	18152
1591	70674	18112
1592	70731	18071
1593	70788	18030
1594	70852	17990
1595	70894	17945
1596	70963	17907
1597	71002	17861
1598	71036	17814
1599	71085	17771
1600	71138	17729
1601	71197	17688
1602	71255	17647
1603	71316	17606
1604	71366	17563
1605	71418	17521
1606	71487	17482
1607	71537	17439
1608	71592	17397
1609	71649	17356
1610	71703	17313
1611	71759	17272
1612	71819	17231
1613	71875	17189
1614	71934	17148
1615	71990	17106
1616	72047	17065
1617	72105	17023
1618	72161	16981
1619	72213	16938
1620	72263	16895
1621	72306	16850
1622	72348	16805
1623	72396	16761
1624	72450	16719
1625	72510	16678
1626	72563	16635
1627	72606	16590
1628	72644	16544
1629	72688	16499
1630	72733	16455
1631	72786	16412
1632	72845	16371
1633	72898	16328
1634	72952	16285
1635	73009	16244
1636	73063	16201
1637	73117	16159
1638	73166	16115
1639	73213	16071
1640	73267	16028
1641	73329	15987
1642	73384	15945
1643	73439	15902
1644	73493	15860
1645	73549	15818
1646	73609	15776
1647	73665	15734
1648	73723	15692
1649	73781	15650
1650	73836	15608
1651	73898	15567
1652	73946	15522
1653	73992	15478
1654	74055	15437
1655	74109	15394
1656	74178	15354
1657	74238	15313
1658	74295	15271
1659	74354	15229
1660	74411	15186
